set_temp,temp,time,I,J
30.0,33.4902,0.0,-1.175e-11,-1.06818181818e-10
31.0,33.4902,1.3,-1.174e-11,-1.06727272727e-10
32.0,33.4829,4.8,-1.171e-11,-1.06454545455e-10
33.0,33.8042,54.0,-1.158e-11,-1.05272727273e-10
34.0,34.4566,63.8,-1.19e-11,-1.08181818182e-10
35.0,35.08,70.3,-1.22e-11,-1.10909090909e-10
36.0,35.2212,71.7,-1.228e-11,-1.11636363636e-10
37.0,35.8763,77.3,-1.269e-11,-1.15363636364e-10
38.0,37.3158,88.0,-1.385e-11,-1.25909090909e-10
39.0,38.4293,95.7,-1.491e-11,-1.35545454545e-10
40.0,39.5407,103.3,-1.622e-11,-1.47454545455e-10
41.0,40.2013,107.8,-1.707e-11,-1.55181818182e-10
42.0,41.1911,114.3,-1.848e-11,-1.68e-10
43.0,42.3397,121.9,-2.05e-11,-1.86363636364e-10
44.0,43.3983,128.6,-2.23e-11,-2.02727272727e-10
45.0,43.9619,132.0,-2.34e-11,-2.12727272727e-10
46.0,44.5353,135.5,-2.46e-11,-2.23636363636e-10
47.0,46.19,145.2,-2.82e-11,-2.56363636364e-10
48.0,47.1201,150.7,-3.05e-11,-2.77272727273e-10
49.0,48.385,158.4,-3.41e-11,-3.1e-10
50.0,49.7406,167.0,-3.84e-11,-3.49090909091e-10
51.0,50.4466,171.5,-4.08e-11,-3.70909090909e-10
52.0,51.6952,180.2,-4.56e-11,-4.14545454545e-10
53.0,53.0298,189.9,-5.14e-11,-4.67272727273e-10
54.0,53.6263,194.4,-5.41e-11,-4.91818181818e-10
55.0,55.2426,206.2,-6.19e-11,-5.62727272727e-10
56.0,55.7073,209.7,-6.44e-11,-5.85454545455e-10
57.0,56.9132,218.4,-7.09e-11,-6.44545454545e-10
58.0,57.9482,225.9,-7.7e-11,-7e-10
59.0,59.1694,234.6,-8.47e-11,-7.7e-10
60.0,60.2122,242.2,-9.19e-11,-8.35454545455e-10
61.0,60.8365,246.8,-9.62e-11,-8.74545454545e-10
62.0,62.1538,256.4,-1.064e-10,-9.67272727273e-10
63.0,62.6069,259.9,-1.102e-10,-1.00181818182e-09
64.0,64.3707,272.7,-1.25e-10,-1.13636363636e-09
65.0,65.4292,280.4,-1.347e-10,-1.22454545455e-09
66.0,66.0443,284.8,-1.408e-10,-1.28e-09
67.0,67.0786,292.5,-1.511e-10,-1.37363636364e-09
68.0,68.2676,301.1,-1.64e-10,-1.49090909091e-09
69.0,69.4373,309.8,-1.772e-10,-1.61090909091e-09
70.0,70.6979,319.4,-1.928e-10,-1.75272727273e-09
71.0,71.2744,323.9,-1.998e-10,-1.81636363636e-09
72.0,71.8632,328.4,-2.07e-10,-1.88181818182e-09
73.0,73.3992,340.2,-2.28e-10,-2.07272727273e-09
74.0,74.673,349.9,-2.45e-10,-2.22727272727e-09
75.0,75.7261,357.6,-2.61e-10,-2.37272727273e-09
76.0,76.0625,360.0,-2.67e-10,-2.42727272727e-09
77.0,77.1772,367.5,-2.84e-10,-2.58181818182e-09
78.0,78.3585,375.2,-3.02e-10,-2.74545454545e-09
79.0,79.3853,381.7,-3.2e-10,-2.90909090909e-09
80.0,79.7685,384.1,-3.27e-10,-2.97272727273e-09
