set_temp,temp,time,I,J
30.0,33.4683,0.0,-1.257e-11,-1.14272727273e-10
31.0,33.4634,1.4,-1.255e-11,-1.14090909091e-10
32.0,33.4634,2.7,-1.253e-11,-1.13909090909e-10
33.0,33.775,54.1,-1.235e-11,-1.12272727273e-10
34.0,34.4128,63.8,-1.261e-11,-1.14636363636e-10
35.0,35.1311,71.5,-1.306e-11,-1.18727272727e-10
36.0,35.2845,72.8,-1.317e-11,-1.19727272727e-10
37.0,35.9493,78.4,-1.365e-11,-1.24090909091e-10
38.0,37.233,88.1,-1.475e-11,-1.34090909091e-10
39.0,38.3465,95.7,-1.593e-11,-1.44818181818e-10
40.0,39.4822,103.3,-1.733e-11,-1.57545454545e-10
41.0,40.1427,107.9,-1.829e-11,-1.66272727273e-10
42.0,41.1326,114.4,-1.984e-11,-1.80363636364e-10
43.0,42.2982,122.0,-2.19e-11,-1.99090909091e-10
44.0,43.3691,128.6,-2.4e-11,-2.18181818182e-10
45.0,43.774,131.0,-2.47e-11,-2.24545454545e-10
46.0,44.528,135.5,-2.65e-11,-2.40909090909e-10
47.0,46.2022,145.3,-3.03e-11,-2.75454545455e-10
48.0,47.4863,152.9,-3.39e-11,-3.08181818182e-10
49.0,48.5926,159.5,-3.72e-11,-3.38181818182e-10
50.0,49.6209,166.1,-4.07e-11,-3.7e-10
51.0,50.4735,171.7,-4.39e-11,-3.99090909091e-10
52.0,51.8785,181.3,-4.95e-11,-4.5e-10
53.0,52.9564,189.0,-5.44e-11,-4.94545454545e-10
54.0,53.5823,193.5,-5.72e-11,-5.2e-10
55.0,55.3502,206.3,-6.63e-11,-6.02727272727e-10
56.0,55.8198,209.8,-6.88e-11,-6.25454545455e-10
57.0,56.8888,217.5,-7.49e-11,-6.80909090909e-10
58.0,58.2272,227.1,-8.32e-11,-7.56363636364e-10
59.0,59.2575,234.8,-9e-11,-8.18181818182e-10
60.0,60.2954,242.4,-9.74e-11,-8.85454545455e-10
61.0,60.9124,247.0,-1.02e-10,-9.27272727273e-10
62.0,62.0975,255.6,-1.112e-10,-1.01090909091e-09
63.0,62.5751,259.1,-1.15e-10,-1.04545454545e-09
64.0,64.3192,271.9,-1.304e-10,-1.18545454545e-09
65.0,65.4978,280.6,-1.415e-10,-1.28636363636e-09
66.0,66.1203,285.1,-1.474e-10,-1.34e-09
67.0,67.2821,293.8,-1.597e-10,-1.45181818182e-09
68.0,68.4295,302.4,-1.722e-10,-1.56545454545e-09
69.0,69.4692,310.1,-1.84e-10,-1.67272727273e-09
70.0,70.7789,319.8,-1.997e-10,-1.81545454545e-09
71.0,71.1076,322.2,-2.04e-10,-1.85454545455e-09
72.0,71.7307,326.7,-2.12e-10,-1.92727272727e-09
73.0,73.3403,338.6,-2.33e-10,-2.11818181818e-09
74.0,74.5257,347.2,-2.5e-10,-2.27272727273e-09
75.0,75.8342,356.9,-2.7e-10,-2.45454545455e-09
76.0,76.281,360.4,-2.76e-10,-2.50909090909e-09
77.0,77.4326,369.0,-2.95e-10,-2.68181818182e-09
78.0,78.7122,378.7,-3.17e-10,-2.88181818182e-09
79.0,79.7562,386.4,-3.33e-10,-3.02727272727e-09
80.0,80.1075,388.8,-3.4e-10,-3.09090909091e-09
81.0,80.7684,393.3,-3.51e-10,-3.19090909091e-09
82.0,82.2871,403.0,-3.79e-10,-3.44545454545e-09
83.0,83.1719,408.5,-3.96e-10,-3.6e-09
84.0,84.3814,416.1,-4.21e-10,-3.82727272727e-09
85.0,85.7287,424.8,-4.5e-10,-4.09090909091e-09
86.0,86.3951,429.3,-4.65e-10,-4.22727272727e-09
87.0,87.647,438.0,-4.94e-10,-4.49090909091e-09
88.0,88.8425,446.6,-5.22e-10,-4.74545454545e-09
89.0,89.4674,451.2,-5.37e-10,-4.88181818182e-09
90.0,90.4983,458.8,-5.62e-10,-5.10909090909e-09
91.0,91.8174,468.5,-5.94e-10,-5.4e-09
92.0,92.8142,476.1,-6.19e-10,-5.62727272727e-09
93.0,93.9884,484.8,-6.47e-10,-5.88181818182e-09
94.0,95.1111,493.5,-6.76e-10,-6.14545454545e-09
95.0,96.3915,503.1,-7.09e-10,-6.44545454545e-09
96.0,96.8693,506.6,-7.21e-10,-6.55454545455e-09
97.0,98.0589,515.3,-7.53e-10,-6.84545454545e-09
98.0,98.6624,519.8,-7.7e-10,-7e-09
99.0,99.6059,526.4,-7.96e-10,-7.23636363636e-09
100.0,101.488,540.3,-8.51e-10,-7.73636363636e-09
101.0,101.966,543.8,-8.66e-10,-7.87272727273e-09
102.0,103.112,552.4,-9.01e-10,-8.19090909091e-09
103.0,104.406,562.1,-9.43e-10,-8.57272727273e-09
104.0,105.39,569.7,-9.76e-10,-8.87272727273e-09
105.0,106.524,578.4,-1.014e-09,-9.21818181818e-09
106.0,107.239,583.9,-1.04e-09,-9.45454545455e-09
107.0,107.705,587.4,-1.057e-09,-9.60909090909e-09
108.0,108.837,596.1,-1.098e-09,-9.98181818182e-09
109.0,110.519,608.9,-1.161e-09,-1.05545454545e-08
110.0,111.824,618.7,-1.21e-09,-1.1e-08
111.0,112.295,622.2,-1.229e-09,-1.11727272727e-08
112.0,113.447,630.8,-1.274e-09,-1.15818181818e-08
113.0,114.617,639.5,-1.32e-09,-1.2e-08
114.0,115.51,646.1,-1.354e-09,-1.23090909091e-08
115.0,116.633,653.7,-1.399e-09,-1.27181818182e-08
116.0,116.83,655.1,-1.407e-09,-1.27909090909e-08
117.0,117.516,659.6,-1.434e-09,-1.30363636364e-08
118.0,119.227,670.4,-1.502e-09,-1.36545454545e-08
119.0,120.283,677.0,-1.546e-09,-1.40545454545e-08
120.0,121.643,685.7,-1.6e-09,-1.45454545455e-08
121.0,122.157,689.1,-1.62e-09,-1.47272727273e-08
122.0,123.577,698.9,-1.673e-09,-1.52090909091e-08
123.0,124.774,707.5,-1.712e-09,-1.55636363636e-08
124.0,125.826,715.2,-1.743e-09,-1.58454545455e-08
125.0,126.436,719.7,-1.76e-09,-1.6e-08
126.0,127.056,724.2,-1.776e-09,-1.61454545455e-08
127.0,128.753,737.1,-1.816e-09,-1.65090909091e-08
128.0,130.037,746.8,-1.846e-09,-1.67818181818e-08
129.0,131.152,755.4,-1.873e-09,-1.70272727273e-08
130.0,132.283,764.2,-1.905e-09,-1.73181818182e-08
131.0,132.71,767.6,-1.92e-09,-1.74545454545e-08
132.0,133.857,776.3,-1.964e-09,-1.78545454545e-08
133.0,134.847,783.9,-2.01e-09,-1.82727272727e-08
134.0,135.458,788.5,-2.05e-09,-1.86363636364e-08
135.0,137.276,802.4,-2.17e-09,-1.97272727273e-08
136.0,137.61,804.8,-2.19e-09,-1.99090909091e-08
137.0,138.714,813.5,-2.28e-09,-2.07272727273e-08
138.0,139.972,823.2,-2.4e-09,-2.18181818182e-08
