set_temp,temp,time,I,J
30.0,33.4756,0.0,-9.98e-12,-9.07272727273e-11
31.0,33.4732,1.4,-9.97e-12,-9.06363636364e-11
32.0,33.4634,7.9,-9.93e-12,-9.02727272727e-11
33.0,33.7555,54.2,-9.85e-12,-8.95454545455e-11
34.0,34.3763,63.9,-1.013e-11,-9.20909090909e-11
35.0,35.0751,71.5,-1.043e-11,-9.48181818182e-11
36.0,35.2188,72.8,-1.05e-11,-9.54545454545e-11
37.0,35.9834,79.4,-1.095e-11,-9.95454545455e-11
38.0,37.4328,90.2,-1.198e-11,-1.08909090909e-10
39.0,38.2514,95.7,-1.271e-11,-1.15545454545e-10
40.0,39.409,103.3,-1.38e-11,-1.25454545455e-10
41.0,39.9502,106.8,-1.441e-11,-1.31e-10
42.0,41.1253,114.4,-1.587e-11,-1.44272727273e-10
43.0,42.2934,122.0,-1.753e-11,-1.59363636364e-10
44.0,43.3691,128.7,-1.917e-11,-1.74272727273e-10
45.0,43.9399,132.1,-2.03e-11,-1.84545454545e-10
46.0,44.3328,134.5,-2.1e-11,-1.90909090909e-10
47.0,46.1851,145.3,-2.46e-11,-2.23636363636e-10
48.0,47.2837,151.9,-2.71e-11,-2.46363636364e-10
49.0,48.3776,158.6,-2.98e-11,-2.70909090909e-10
50.0,49.7357,167.2,-3.37e-11,-3.06363636364e-10
51.0,50.4319,171.7,-3.6e-11,-3.27272727273e-10
52.0,51.6708,180.3,-4.03e-11,-3.66363636364e-10
53.0,53.0591,190.1,-4.58e-11,-4.16363636364e-10
54.0,53.3965,192.5,-4.71e-11,-4.28181818182e-10
55.0,55.2695,206.4,-5.57e-11,-5.06363636364e-10
56.0,55.7415,209.8,-5.81e-11,-5.28181818182e-10
57.0,56.9255,218.5,-6.41e-11,-5.82727272727e-10
58.0,58.2467,228.2,-7.14e-11,-6.49090909091e-10
59.0,59.162,234.8,-7.71e-11,-7.00909090909e-10
60.0,60.2073,242.4,-8.38e-11,-7.61818181818e-10
61.0,60.8585,247.0,-8.8e-11,-8e-10
62.0,62.0706,255.6,-9.67e-11,-8.79090909091e-10
63.0,62.531,259.0,-1.004e-10,-9.12727272727e-10
64.0,64.2849,271.9,-1.147e-10,-1.04272727273e-09
65.0,65.4733,280.6,-1.252e-10,-1.13818181818e-09
66.0,66.0664,285.0,-1.31e-10,-1.19090909091e-09
67.0,67.1105,292.7,-1.41e-10,-1.28181818182e-09
68.0,68.2529,301.3,-1.53e-10,-1.39090909091e-09
69.0,69.5305,311.1,-1.672e-10,-1.52e-09
70.0,70.644,319.7,-1.803e-10,-1.63909090909e-09
71.0,71.2425,324.3,-1.876e-10,-1.70545454545e-09
72.0,71.6988,327.7,-1.933e-10,-1.75727272727e-09
73.0,73.4066,340.6,-2.15e-10,-1.95454545455e-09
74.0,74.5871,349.2,-2.31e-10,-2.1e-09
75.0,75.5125,355.8,-2.45e-10,-2.22727272727e-09
76.0,76.1288,360.3,-2.53e-10,-2.3e-09
77.0,77.3344,369.0,-2.72e-10,-2.47272727273e-09
78.0,78.3954,376.5,-2.9e-10,-2.63636363636e-09
79.0,79.6285,385.2,-3.1e-10,-2.81818181818e-09
80.0,80.2476,389.7,-3.22e-10,-2.92727272727e-09
81.0,80.8716,394.2,-3.32e-10,-3.01818181818e-09
82.0,82.2797,403.9,-3.58e-10,-3.25454545455e-09
83.0,83.2825,410.5,-3.77e-10,-3.42727272727e-09
84.0,84.3347,417.1,-3.98e-10,-3.61818181818e-09
85.0,85.5566,424.7,-4.24e-10,-3.85454545455e-09
86.0,86.1123,428.1,-4.35e-10,-3.95454545455e-09
87.0,87.4773,436.9,-4.65e-10,-4.22727272727e-09
88.0,88.6063,444.5,-4.92e-10,-4.47272727273e-09
89.0,89.2804,449.0,-5.09e-10,-4.62727272727e-09
90.0,90.5008,457.7,-5.39e-10,-4.9e-09
91.0,91.6943,466.4,-5.69e-10,-5.17272727273e-09
92.0,92.8462,475.0,-5.98e-10,-5.43636363636e-09
93.0,94.0105,483.7,-6.29e-10,-5.71818181818e-09
94.0,95.1652,492.4,-6.58e-10,-5.98181818182e-09
95.0,96.3176,501.0,-6.88e-10,-6.25454545455e-09
96.0,97.0515,506.5,-7.06e-10,-6.41818181818e-09
97.0,98.0613,514.2,-7.33e-10,-6.66363636364e-09
98.0,98.655,518.7,-7.49e-10,-6.80909090909e-09
99.0,99.8227,527.3,-7.8e-10,-7.09090909091e-09
100.0,101.4,539.1,-8.22e-10,-7.47272727273e-09
101.0,102.018,543.6,-8.39e-10,-7.62727272727e-09
102.0,103.174,552.2,-8.72e-10,-7.92727272727e-09
103.0,104.189,559.9,-9.01e-10,-8.19090909091e-09
104.0,105.481,569.6,-9.39e-10,-8.53636363636e-09
105.0,106.499,577.2,-9.69e-10,-8.80909090909e-09
106.0,107.091,581.7,-9.88e-10,-8.98181818182e-09
107.0,107.69,586.2,-1.008e-09,-9.16363636364e-09
108.0,108.822,594.9,-1.046e-09,-9.50909090909e-09
109.0,110.519,607.7,-1.105e-09,-1.00454545455e-08
110.0,111.831,617.5,-1.153e-09,-1.04818181818e-08
111.0,112.154,619.9,-1.166e-09,-1.06e-08
112.0,113.326,628.5,-1.209e-09,-1.09909090909e-08
113.0,114.496,637.2,-1.252e-09,-1.13818181818e-08
114.0,115.495,644.8,-1.29e-09,-1.17272727273e-08
115.0,116.783,654.6,-1.338e-09,-1.21636363636e-08
116.0,116.961,655.9,-1.345e-09,-1.22272727273e-08
117.0,117.825,662.6,-1.376e-09,-1.25090909091e-08
118.0,119.54,675.3,-1.435e-09,-1.30454545455e-08
119.0,120.488,682.0,-1.468e-09,-1.33454545455e-08
120.0,121.488,688.5,-1.503e-09,-1.36636363636e-08
121.0,122.036,692.0,-1.521e-09,-1.38272727273e-08
122.0,122.932,697.6,-1.553e-09,-1.41181818182e-08
123.0,124.184,705.2,-1.597e-09,-1.45181818182e-08
124.0,125.407,712.9,-1.64e-09,-1.49090909091e-08
125.0,126.108,717.4,-1.663e-09,-1.51181818182e-08
126.0,126.794,721.8,-1.684e-09,-1.53090909091e-08
127.0,128.659,734.7,-1.736e-09,-1.57818181818e-08
128.0,129.714,742.3,-1.761e-09,-1.60090909091e-08
129.0,131.112,753.0,-1.786e-09,-1.62363636364e-08
130.0,132.206,761.7,-1.8e-09,-1.63636363636e-08
131.0,132.649,765.2,-1.805e-09,-1.64090909091e-08
132.0,133.847,774.9,-1.818e-09,-1.65272727273e-08
133.0,134.793,782.5,-1.828e-09,-1.66181818182e-08
134.0,135.364,787.1,-1.835e-09,-1.66818181818e-08
135.0,137.096,800.9,-1.866e-09,-1.69636363636e-08
136.0,137.551,804.4,-1.876e-09,-1.70545454545e-08
137.0,138.628,813.0,-1.908e-09,-1.73454545455e-08
138.0,139.723,821.7,-1.948e-09,-1.77090909091e-08
139.0,140.82,830.3,-1.996e-09,-1.81454545455e-08
140.0,142.09,840.1,-2.07e-09,-1.88181818182e-08
141.0,142.54,843.5,-2.09e-09,-1.9e-08
142.0,143.719,852.3,-2.17e-09,-1.97272727273e-08
143.0,144.188,855.7,-2.2e-09,-2e-08
144.0,145.805,867.5,-2.32e-09,-2.10909090909e-08
145.0,147.125,877.2,-2.42e-09,-2.2e-08
146.0,147.599,880.7,-2.46e-09,-2.23636363636e-08
147.0,148.617,888.3,-2.55e-09,-2.31818181818e-08
148.0,149.925,898.0,-2.66e-09,-2.41818181818e-08
149.0,150.919,905.5,-2.76e-09,-2.50909090909e-08
150.0,152.07,914.3,-2.86e-09,-2.6e-08
151.0,152.664,918.7,-2.92e-09,-2.65454545455e-08
152.0,153.237,923.3,-2.97e-09,-2.7e-08
153.0,154.898,936.0,-3.13e-09,-2.84545454545e-08
154.0,156.015,944.7,-3.24e-09,-2.94545454545e-08
155.0,157.251,954.5,-3.35e-09,-3.04545454545e-08
156.0,157.83,959.0,-3.41e-09,-3.1e-08
157.0,158.789,966.5,-3.5e-09,-3.18181818182e-08
158.0,159.77,974.2,-3.59e-09,-3.26363636364e-08
159.0,160.867,982.8,-3.69e-09,-3.35454545455e-08
160.0,161.451,987.4,-3.75e-09,-3.40909090909e-08
161.0,162.014,991.9,-3.8e-09,-3.45454545455e-08
162.0,163.435,1002.6,-3.93e-09,-3.57272727273e-08
163.0,164.367,1009.2,-4.01e-09,-3.64545454545e-08
164.0,165.346,1015.8,-4.1e-09,-3.72727272727e-08
165.0,166.537,1023.4,-4.21e-09,-3.82727272727e-08
166.0,167.048,1026.8,-4.26e-09,-3.87272727273e-08
167.0,168.225,1034.5,-4.37e-09,-3.97272727273e-08
168.0,169.492,1043.1,-4.48e-09,-4.07272727273e-08
169.0,170.14,1047.7,-4.54e-09,-4.12727272727e-08
170.0,171.215,1055.3,-4.63e-09,-4.20909090909e-08
171.0,172.398,1064.0,-4.71e-09,-4.28181818182e-08
172.0,173.399,1071.6,-4.77e-09,-4.33636363636e-08
173.0,174.691,1081.3,-4.84e-09,-4.4e-08
174.0,175.796,1089.9,-4.88e-09,-4.43636363636e-08
175.0,177.021,1099.7,-4.9e-09,-4.45454545455e-08
176.0,177.453,1103.1,-4.9e-09,-4.45454545455e-08
177.0,178.548,1111.9,-4.89e-09,-4.44545454545e-08
178.0,179.108,1116.3,-4.88e-09,-4.43636363636e-08
179.0,180.101,1124.0,-4.85e-09,-4.40909090909e-08
180.0,181.902,1137.9,-4.76e-09,-4.32727272727e-08
181.0,182.371,1141.3,-4.72e-09,-4.29090909091e-08
182.0,183.354,1148.9,-4.62e-09,-4.2e-08
183.0,184.472,1157.6,-4.49e-09,-4.08181818182e-08
184.0,185.564,1166.3,-4.31e-09,-3.91818181818e-08
